ticket_id,text,label
CLS-00038,"Urgent, Tracking has not updated for days. Reported via support portal with medium priority, and this is blocking our operations.",shipping
CLS-00039,"Good morning, My user appears disabled in admin. Reported via email with medium priority, and this started yesterday.",account_access
CLS-00040,"Please help, I need an updated invoice with tax ID. Reported via chat with low priority, and this is blocking our operations.",billing
CLS-00041,"Urgent, Delivery date keeps changing. Reported via support portal with high priority, and this started after the latest release.",shipping
CLS-00042,"Good morning, File upload fails for PDF documents. Reported via email with low priority, and this affects multiple users.",technical
CLS-00043,"Hi team, The dashboard is blank after login. Reported via email with high priority, and please prioritize this today.",technical
CLS-00044,"Need assistance, Billing continued after cancellation. Reported via support portal with high priority, and please prioritize this today.",billing
CLS-00045,"Hello support, My account is locked unexpectedly. Reported via chat with medium priority, and please prioritize this today.",account_access
CLS-00046,"Need assistance, The payment failed but money was charged. Reported via chat with medium priority, and this is blocking our operations.",billing
CLS-00047,"Good morning, SSO login fails for our team. Reported via support portal with medium priority, and please prioritize this today.",account_access
CLS-00048,"Hello support, My user appears disabled in admin. Reported via phone with medium priority, and this is blocking our operations.",account_access
CLS-00049,"Hello support, Two-factor code never arrives. Reported via phone with low priority, and we need a quick resolution.",account_access
CLS-00050,"Good morning, The dashboard is blank after login. Reported via support portal with high priority, and this started yesterday.",technical
CLS-00051,"Hello support, My user appears disabled in admin. Reported via chat with high priority, and we need a quick resolution.",account_access
CLS-00052,"Good morning, The dashboard is blank after login. Reported via chat with medium priority, and we need a quick resolution.",technical
CLS-00053,"Please help, I was billed for an add-on I did not enable. Reported via support portal with high priority, and this started after the latest release.",billing
CLS-00054,"Need assistance, The checkout page freezes. Reported via phone with high priority, and this started after the latest release.",technical
CLS-00055,"Please help, The payment failed but money was charged. Reported via support portal with high priority, and we need a quick resolution.",billing
CLS-00056,"Hello support, Order is marked delivered but I did not receive it. Reported via phone with medium priority, and please prioritize this today.",shipping
CLS-00057,"Urgent, The payment failed but money was charged. Reported via chat with low priority, and we need a quick resolution.",billing
CLS-00058,"Please help, The package arrived damaged. Reported via phone with high priority, and this started after the latest release.",shipping
CLS-00059,"Need assistance, Two-factor code never arrives. Reported via support portal with low priority, and this affects multiple users.",account_access
CLS-00060,"Hi team, I was charged twice for my subscription. Reported via phone with medium priority, and please prioritize this today.",billing
CLS-00061,"Hello support, I need to change the delivery address. Reported via phone with low priority, and this started yesterday.",shipping
CLS-00062,"Hello support, My account is locked unexpectedly. Reported via phone with high priority, and please prioritize this today.",account_access
CLS-00063,"Need assistance, SSO login fails for our team. Reported via email with low priority, and this affects multiple users.",account_access
CLS-00064,"Please help, Billing continued after cancellation. Reported via support portal with low priority, and this affects multiple users.",billing
CLS-00065,"Hi team, The app crashes on startup. Reported via chat with medium priority, and this started yesterday.",technical
CLS-00066,"Urgent, Billing continued after cancellation. Reported via email with medium priority, and this started yesterday.",billing
CLS-00067,"Need assistance, I cannot log in to my account. Reported via support portal with low priority, and this started after the latest release.",account_access
CLS-00068,"Urgent, My account is locked unexpectedly. Reported via phone with medium priority, and this affects multiple users.",account_access
CLS-00069,"Need assistance, Tracking has not updated for days. Reported via chat with low priority, and we need a quick resolution.",shipping
CLS-00070,"Urgent, Export to CSV does not work. Reported via support portal with medium priority, and this is blocking our operations.",technical
CLS-00071,"Urgent, Courier delivered to the wrong address. Reported via chat with low priority, and this started yesterday.",shipping
CLS-00072,"Please help, I was charged twice for my subscription. Reported via chat with low priority, and this is blocking our operations.",billing
CLS-00073,"Hello support, I was billed for an add-on I did not enable. Reported via email with low priority, and this is blocking our operations.",billing
CLS-00074,"Need assistance, I was billed for an add-on I did not enable. Reported via email with medium priority, and this is blocking our operations.",billing
CLS-00075,"Hi team, I was billed for an add-on I did not enable. Reported via support portal with medium priority, and this started yesterday.",billing
CLS-00076,"Need assistance, One item is missing from the shipment. Reported via email with high priority, and this started after the latest release.",shipping
CLS-00077,"Need assistance, I cannot log in to my account. Reported via support portal with low priority, and please prioritize this today.",account_access
CLS-00078,"Hi team, The payment failed but money was charged. Reported via email with low priority, and this started after the latest release.",billing
CLS-00079,"Please help, I was charged twice for my subscription. Reported via phone with medium priority, and we need a quick resolution.",billing
CLS-00080,"Hello support, The checkout page freezes. Reported via phone with medium priority, and please prioritize this today.",technical
CLS-00081,"Need assistance, SSO login fails for our team. Reported via email with low priority, and this started after the latest release.",account_access
CLS-00082,"Urgent, The package arrived damaged. Reported via support portal with low priority, and we need a quick resolution.",shipping
CLS-00083,"Hi team, File upload fails for PDF documents. Reported via chat with low priority, and please prioritize this today.",technical
CLS-00084,"Good morning, Search is returning empty results. Reported via phone with low priority, and this started yesterday.",technical
CLS-00085,"Urgent, My refund has not arrived yet. Reported via phone with low priority, and this started after the latest release.",billing
CLS-00086,"Hello support, I cannot log in to my account. Reported via phone with medium priority, and we need a quick resolution.",account_access
CLS-00087,"Good morning, Password reset link expired. Reported via chat with low priority, and this is blocking our operations.",account_access
CLS-00088,"Good morning, My user appears disabled in admin. Reported via chat with high priority, and this affects multiple users.",account_access
CLS-00089,"Hello support, My user appears disabled in admin. Reported via chat with low priority, and this affects multiple users.",account_access
CLS-00090,"Hi team, The website is very slow today. Reported via phone with high priority, and this affects multiple users.",technical
CLS-00091,"Hello support, Export to CSV does not work. Reported via support portal with low priority, and this is blocking our operations.",technical
CLS-00092,"Good morning, The checkout page freezes. Reported via chat with medium priority, and this affects multiple users.",technical
CLS-00093,"Hello support, Search is returning empty results. Reported via phone with low priority, and this started yesterday.",technical
CLS-00094,"Hi team, My refund has not arrived yet. Reported via support portal with low priority, and this started yesterday.",billing
CLS-00095,"Please help, The package arrived damaged. Reported via email with medium priority, and we need a quick resolution.",shipping
CLS-00096,"Urgent, Order is marked delivered but I did not receive it. Reported via support portal with high priority, and this started after the latest release.",shipping
CLS-00097,"Need assistance, My refund has not arrived yet. Reported via support portal with high priority, and please prioritize this today.",billing
CLS-00098,"Urgent, I need an updated invoice with tax ID. Reported via phone with high priority, and this is blocking our operations.",billing
CLS-00099,"Hi team, One item is missing from the shipment. Reported via chat with medium priority, and this affects multiple users.",shipping
CLS-00100,"Hello support, The dashboard is blank after login. Reported via email with low priority, and please prioritize this today.",technical
CLS-00101,"Please help, Tracking has not updated for days. Reported via chat with medium priority, and this is blocking our operations.",shipping
CLS-00102,"Need assistance, Export to CSV does not work. Reported via phone with medium priority, and please prioritize this today.",technical
CLS-00103,"Hi team, The API returns a 500 error. Reported via phone with high priority, and this started after the latest release.",technical
CLS-00104,"Good morning, The checkout page freezes. Reported via phone with low priority, and we need a quick resolution.",technical
CLS-00105,"Good morning, The API returns a 500 error. Reported via email with high priority, and this started after the latest release.",technical
CLS-00106,"Urgent, Search is returning empty results. Reported via support portal with medium priority, and please prioritize this today.",technical
CLS-00107,"Good morning, The API returns a 500 error. Reported via email with high priority, and we need a quick resolution.",technical
CLS-00108,"Good morning, I need to change the delivery address. Reported via email with low priority, and please prioritize this today.",shipping
CLS-00109,"Hi team, A discount code was not applied. Reported via phone with high priority, and this is blocking our operations.",billing
CLS-00110,"Urgent, One item is missing from the shipment. Reported via chat with high priority, and this affects multiple users.",shipping
CLS-00111,"Please help, My user appears disabled in admin. Reported via chat with high priority, and this affects multiple users.",account_access
CLS-00112,"Hi team, Order is marked delivered but I did not receive it. Reported via chat with low priority, and we need a quick resolution.",shipping
CLS-00113,"Good morning, I was billed for an add-on I did not enable. Reported via chat with medium priority, and we need a quick resolution.",billing
CLS-00114,"Good morning, My order has not been delivered. Reported via chat with medium priority, and this started after the latest release.",shipping
CLS-00115,"Hello support, Delivery date keeps changing. Reported via chat with high priority, and we need a quick resolution.",shipping
CLS-00116,"Please help, I cannot log in to my account. Reported via email with medium priority, and this is blocking our operations.",account_access
CLS-00117,"Hi team, One item is missing from the shipment. Reported via phone with high priority, and this affects multiple users.",shipping
CLS-00118,"Hello support, I need to change the delivery address. Reported via chat with low priority, and this affects multiple users.",shipping
CLS-00119,"Good morning, One item is missing from the shipment. Reported via email with high priority, and we need a quick resolution.",shipping
CLS-00120,"Need assistance, A discount code was not applied. Reported via email with medium priority, and this started after the latest release.",billing
CLS-00121,"Hi team, The API returns a 500 error. Reported via email with medium priority, and this is blocking our operations.",technical
CLS-00122,"Need assistance, Courier delivered to the wrong address. Reported via phone with high priority, and this is blocking our operations.",shipping
CLS-00123,"Urgent, The dashboard is blank after login. Reported via phone with low priority, and please prioritize this today.",technical
CLS-00124,"Need assistance, I was billed for an add-on I did not enable. Reported via phone with low priority, and please prioritize this today.",billing
CLS-00125,"Hi team, Search is returning empty results. Reported via chat with low priority, and please prioritize this today.",technical
CLS-00126,"Hi team, The package arrived damaged. Reported via chat with high priority, and this started after the latest release.",shipping
CLS-00127,"Need assistance, I am logged out immediately after signing in. Reported via phone with medium priority, and this is blocking our operations.",account_access
CLS-00128,"Good morning, One item is missing from the shipment. Reported via phone with high priority, and we need a quick resolution.",shipping
CLS-00129,"Good morning, Courier delivered to the wrong address. Reported via support portal with medium priority, and this affects multiple users.",shipping
CLS-00130,"Good morning, The dashboard is blank after login. Reported via email with low priority, and we need a quick resolution.",technical
CLS-00131,"Good morning, A discount code was not applied. Reported via support portal with low priority, and this affects multiple users.",billing
CLS-00132,"Good morning, The app crashes on startup. Reported via support portal with low priority, and this is blocking our operations.",technical
CLS-00133,"Please help, SSO login fails for our team. Reported via phone with medium priority, and please prioritize this today.",account_access
CLS-00134,"Hello support, Order is marked delivered but I did not receive it. Reported via phone with low priority, and this affects multiple users.",shipping
CLS-00135,"Hello support, The checkout page freezes. Reported via phone with medium priority, and this is blocking our operations.",technical
CLS-00136,"Hello support, My account is locked unexpectedly. Reported via phone with high priority, and we need a quick resolution.",account_access
CLS-00137,"Good morning, One item is missing from the shipment. Reported via support portal with low priority, and this started after the latest release.",shipping
CLS-00138,"Please help, The payment failed but money was charged. Reported via phone with low priority, and we need a quick resolution.",billing
CLS-00139,"Hello support, My account is locked unexpectedly. Reported via support portal with low priority, and this affects multiple users.",account_access
CLS-00140,"Need assistance, Search is returning empty results. Reported via email with high priority, and this started yesterday.",technical
CLS-00141,"Good morning, The payment failed but money was charged. Reported via support portal with medium priority, and we need a quick resolution.",billing
CLS-00142,"Good morning, I need to change my login email. Reported via support portal with medium priority, and please prioritize this today.",account_access
CLS-00143,"Urgent, I was charged twice for my subscription. Reported via chat with low priority, and this affects multiple users.",billing
CLS-00144,"Need assistance, Export to CSV does not work. Reported via support portal with low priority, and please prioritize this today.",technical
CLS-00145,"Good morning, The payment failed but money was charged. Reported via email with low priority, and this affects multiple users.",billing
CLS-00146,"Hello support, I need to change the delivery address. Reported via support portal with low priority, and this affects multiple users.",shipping
CLS-00147,"Urgent, Billing continued after cancellation. Reported via chat with low priority, and this started yesterday.",billing
CLS-00148,"Good morning, The dashboard is blank after login. Reported via chat with low priority, and this started after the latest release.",technical
CLS-00149,"Hi team, I need to change the delivery address. Reported via support portal with medium priority, and please prioritize this today.",shipping
CLS-00150,"Please help, I was charged twice for my subscription. Reported via phone with low priority, and this started yesterday.",billing
CLS-00151,"Good morning, Tracking has not updated for days. Reported via email with high priority, and this started yesterday.",shipping
CLS-00152,"Hello support, My refund has not arrived yet. Reported via support portal with low priority, and we need a quick resolution.",billing
CLS-00153,"Need assistance, Delivery date keeps changing. Reported via chat with high priority, and this started yesterday.",shipping
CLS-00154,"Need assistance, I am logged out immediately after signing in. Reported via email with high priority, and this started after the latest release.",account_access
CLS-00155,"Need assistance, I need to change the delivery address. Reported via chat with low priority, and this started after the latest release.",shipping
CLS-00156,"Hi team, Search is returning empty results. Reported via phone with low priority, and this started yesterday.",technical
CLS-00157,"Hello support, I am logged out immediately after signing in. Reported via support portal with high priority, and this is blocking our operations.",account_access
CLS-00158,"Hello support, The package arrived damaged. Reported via support portal with medium priority, and this started yesterday.",shipping
CLS-00159,"Hello support, File upload fails for PDF documents. Reported via phone with medium priority, and please prioritize this today.",technical
CLS-00160,"Good morning, My refund has not arrived yet. Reported via phone with medium priority, and this is blocking our operations.",billing
CLS-00161,"Urgent, The dashboard is blank after login. Reported via phone with low priority, and this started after the latest release.",technical
CLS-00162,"Urgent, I need to change the delivery address. Reported via chat with medium priority, and this affects multiple users.",shipping
CLS-00163,"Hi team, I am logged out immediately after signing in. Reported via phone with low priority, and this started yesterday.",account_access
CLS-00164,"Need assistance, Password reset link expired. Reported via email with low priority, and please prioritize this today.",account_access
CLS-00165,"Need assistance, The website is very slow today. Reported via email with low priority, and this started after the latest release.",technical
CLS-00166,"Need assistance, Export to CSV does not work. Reported via support portal with medium priority, and this is blocking our operations.",technical
CLS-00167,"Please help, Two-factor code never arrives. Reported via chat with medium priority, and this is blocking our operations.",account_access
CLS-00168,"Hi team, The invoice total is incorrect. Reported via chat with low priority, and this started after the latest release.",billing
CLS-00169,"Urgent, I need an updated invoice with tax ID. Reported via chat with medium priority, and this affects multiple users.",billing
CLS-00170,"Need assistance, File upload fails for PDF documents. Reported via phone with low priority, and this is blocking our operations.",technical
CLS-00171,"Good morning, The website is very slow today. Reported via chat with medium priority, and this started after the latest release.",technical
CLS-00172,"Need assistance, The API returns a 500 error. Reported via email with high priority, and please prioritize this today.",technical
CLS-00173,"Hi team, The dashboard is blank after login. Reported via chat with low priority, and this affects multiple users.",technical
CLS-00174,"Please help, The invoice total is incorrect. Reported via chat with high priority, and please prioritize this today.",billing
CLS-00175,"Hello support, I am logged out immediately after signing in. Reported via phone with medium priority, and please prioritize this today.",account_access
CLS-00176,"Urgent, SSO login fails for our team. Reported via chat with medium priority, and this started yesterday.",account_access
CLS-00177,"Good morning, One item is missing from the shipment. Reported via email with high priority, and this affects multiple users.",shipping
CLS-00178,"Hello support, The payment failed but money was charged. Reported via chat with medium priority, and this started yesterday.",billing
CLS-00179,"Hi team, File upload fails for PDF documents. Reported via support portal with medium priority, and this started yesterday.",technical
CLS-00180,"Hi team, My refund has not arrived yet. Reported via phone with low priority, and we need a quick resolution.",billing
CLS-00181,"Please help, The website is very slow today. Reported via email with high priority, and this affects multiple users.",technical
CLS-00182,"Hello support, The package arrived damaged. Reported via email with high priority, and we need a quick resolution.",shipping
CLS-00183,"Need assistance, I cannot log in to my account. Reported via email with medium priority, and please prioritize this today.",account_access
CLS-00184,"Please help, The API returns a 500 error. Reported via chat with high priority, and please prioritize this today.",technical
CLS-00185,"Need assistance, The invoice total is incorrect. Reported via support portal with high priority, and this started yesterday.",billing
CLS-00186,"Urgent, File upload fails for PDF documents. Reported via phone with high priority, and this started after the latest release.",technical
CLS-00187,"Please help, Delivery date keeps changing. Reported via support portal with low priority, and please prioritize this today.",shipping
CLS-00188,"Need assistance, One item is missing from the shipment. Reported via support portal with high priority, and please prioritize this today.",shipping
CLS-00189,"Good morning, I need an updated invoice with tax ID. Reported via support portal with medium priority, and this affects multiple users.",billing
CLS-00190,"Hello support, My order has not been delivered. Reported via email with low priority, and please prioritize this today.",shipping
CLS-00191,"Hello support, The dashboard is blank after login. Reported via phone with medium priority, and this affects multiple users.",technical
CLS-00192,"Please help, I need to change my login email. Reported via support portal with medium priority, and this affects multiple users.",account_access
CLS-00193,"Hi team, The dashboard is blank after login. Reported via phone with high priority, and this is blocking our operations.",technical
CLS-00194,"Hi team, SSO login fails for our team. Reported via chat with medium priority, and this started after the latest release.",account_access
CLS-00195,"Good morning, The package arrived damaged. Reported via support portal with medium priority, and please prioritize this today.",shipping
CLS-00196,"Good morning, I am logged out immediately after signing in. Reported via chat with low priority, and this started yesterday.",account_access
CLS-00197,"Hi team, I was charged twice for my subscription. Reported via support portal with low priority, and this started after the latest release.",billing
CLS-00198,"Good morning, One item is missing from the shipment. Reported via support portal with low priority, and we need a quick resolution.",shipping
CLS-00199,"Good morning, I need an updated invoice with tax ID. Reported via email with low priority, and this started after the latest release.",billing
CLS-00200,"Hi team, I am logged out immediately after signing in. Reported via email with low priority, and this started yesterday.",account_access
CLS-00201,"Need assistance, I was charged twice for my subscription. Reported via email with high priority, and this is blocking our operations.",billing
CLS-00202,"Hi team, My refund has not arrived yet. Reported via phone with medium priority, and we need a quick resolution.",billing
CLS-00203,"Good morning, Password reset link expired. Reported via chat with medium priority, and this affects multiple users.",account_access
CLS-00204,"Urgent, I need an updated invoice with tax ID. Reported via phone with low priority, and this started after the latest release.",billing
CLS-00205,"Good morning, File upload fails for PDF documents. Reported via support portal with high priority, and this affects multiple users.",technical
CLS-00206,"Hello support, A discount code was not applied. Reported via support portal with low priority, and we need a quick resolution.",billing
CLS-00207,"Hi team, I am logged out immediately after signing in. Reported via phone with medium priority, and this started yesterday.",account_access
CLS-00208,"Good morning, I need to change my login email. Reported via email with low priority, and we need a quick resolution.",account_access
CLS-00209,"Hi team, Courier delivered to the wrong address. Reported via phone with medium priority, and this started yesterday.",shipping
CLS-00210,"Urgent, Courier delivered to the wrong address. Reported via email with medium priority, and we need a quick resolution.",shipping
CLS-00211,"Urgent, My account is locked unexpectedly. Reported via chat with low priority, and we need a quick resolution.",account_access
CLS-00212,"Please help, Courier delivered to the wrong address. Reported via chat with low priority, and we need a quick resolution.",shipping
CLS-00213,"Urgent, I need to change the delivery address. Reported via support portal with high priority, and this affects multiple users.",shipping
CLS-00214,"Good morning, The app crashes on startup. Reported via chat with medium priority, and this is blocking our operations.",technical
CLS-00215,"Hello support, The dashboard is blank after login. Reported via phone with low priority, and we need a quick resolution.",technical
CLS-00216,"Need assistance, The website is very slow today. Reported via chat with low priority, and this started after the latest release.",technical
CLS-00217,"Urgent, Order is marked delivered but I did not receive it. Reported via chat with high priority, and please prioritize this today.",shipping
CLS-00218,"Good morning, Billing continued after cancellation. Reported via email with medium priority, and we need a quick resolution.",billing
CLS-00219,"Need assistance, Search is returning empty results. Reported via support portal with high priority, and this started after the latest release.",technical
CLS-00220,"Urgent, My account is locked unexpectedly. Reported via email with medium priority, and this started yesterday.",account_access
CLS-00221,"Please help, SSO login fails for our team. Reported via chat with low priority, and we need a quick resolution.",account_access
CLS-00222,"Need assistance, The package arrived damaged. Reported via support portal with high priority, and we need a quick resolution.",shipping
CLS-00223,"Good morning, I need to change the delivery address. Reported via support portal with high priority, and we need a quick resolution.",shipping
CLS-00224,"Need assistance, SSO login fails for our team. Reported via email with medium priority, and please prioritize this today.",account_access
CLS-00225,"Please help, Search is returning empty results. Reported via support portal with medium priority, and this started yesterday.",technical
CLS-00226,"Hi team, A discount code was not applied. Reported via support portal with high priority, and please prioritize this today.",billing
CLS-00227,"Good morning, The checkout page freezes. Reported via phone with high priority, and this started after the latest release.",technical
CLS-00228,"Urgent, The API returns a 500 error. Reported via phone with medium priority, and this affects multiple users.",technical
CLS-00229,"Need assistance, Export to CSV does not work. Reported via chat with high priority, and this started yesterday.",technical
CLS-00230,"Hello support, Courier delivered to the wrong address. Reported via email with medium priority, and this started after the latest release.",shipping
CLS-00231,"Please help, My user appears disabled in admin. Reported via support portal with high priority, and this affects multiple users.",account_access
CLS-00232,"Need assistance, SSO login fails for our team. Reported via support portal with medium priority, and this affects multiple users.",account_access
CLS-00233,"Hi team, Export to CSV does not work. Reported via support portal with high priority, and we need a quick resolution.",technical
CLS-00234,"Hello support, I need to change my login email. Reported via support portal with low priority, and this started after the latest release.",account_access
CLS-00235,"Good morning, SSO login fails for our team. Reported via email with low priority, and this started yesterday.",account_access
CLS-00236,"Need assistance, The invoice total is incorrect. Reported via phone with medium priority, and this affects multiple users.",billing
CLS-00237,"Please help, I need to change my login email. Reported via email with low priority, and this affects multiple users.",account_access
CLS-00238,"Need assistance, Order is marked delivered but I did not receive it. Reported via phone with medium priority, and we need a quick resolution.",shipping
CLS-00239,"Good morning, The invoice total is incorrect. Reported via chat with medium priority, and we need a quick resolution.",billing
CLS-00240,"Need assistance, My order has not been delivered. Reported via support portal with high priority, and this affects multiple users.",shipping
CLS-00241,"Hello support, SSO login fails for our team. Reported via chat with high priority, and this is blocking our operations.",account_access
CLS-00242,"Hi team, Two-factor code never arrives. Reported via phone with low priority, and this started after the latest release.",account_access
CLS-00243,"Need assistance, My account is locked unexpectedly. Reported via email with high priority, and this affects multiple users.",account_access
CLS-00244,"Please help, The package arrived damaged. Reported via chat with low priority, and this started yesterday.",shipping
CLS-00245,"Good morning, Order is marked delivered but I did not receive it. Reported via support portal with low priority, and we need a quick resolution.",shipping
CLS-00246,"Good morning, I need to change my login email. Reported via chat with medium priority, and please prioritize this today.",account_access
CLS-00247,"Please help, Billing continued after cancellation. Reported via email with high priority, and we need a quick resolution.",billing
CLS-00248,"Urgent, Courier delivered to the wrong address. Reported via chat with low priority, and this affects multiple users.",shipping
CLS-00249,"Please help, I am logged out immediately after signing in. Reported via email with high priority, and this is blocking our operations.",account_access
CLS-00250,"Please help, I need an updated invoice with tax ID. Reported via chat with high priority, and this affects multiple users.",billing
CLS-00251,"Hi team, Delivery date keeps changing. Reported via phone with low priority, and this started yesterday.",shipping
CLS-00252,"Hi team, The checkout page freezes. Reported via phone with high priority, and this started yesterday.",technical
CLS-00253,"Hello support, My order has not been delivered. Reported via phone with low priority, and this affects multiple users.",shipping
CLS-00254,"Urgent, One item is missing from the shipment. Reported via email with low priority, and please prioritize this today.",shipping
CLS-00255,"Urgent, My user appears disabled in admin. Reported via support portal with high priority, and this is blocking our operations.",account_access
CLS-00256,"Need assistance, Delivery date keeps changing. Reported via phone with high priority, and this affects multiple users.",shipping
CLS-00257,"Need assistance, Tracking has not updated for days. Reported via phone with low priority, and this started yesterday.",shipping
CLS-00258,"Urgent, The website is very slow today. Reported via chat with medium priority, and this is blocking our operations.",technical
CLS-00259,"Hello support, Courier delivered to the wrong address. Reported via phone with high priority, and we need a quick resolution.",shipping
CLS-00260,"Hi team, My refund has not arrived yet. Reported via chat with low priority, and we need a quick resolution.",billing
CLS-00261,"Hi team, Two-factor code never arrives. Reported via chat with high priority, and this affects multiple users.",account_access
CLS-00262,"Urgent, SSO login fails for our team. Reported via phone with high priority, and this is blocking our operations.",account_access
CLS-00263,"Need assistance, The invoice total is incorrect. Reported via phone with high priority, and this started yesterday.",billing
CLS-00264,"Urgent, My account is locked unexpectedly. Reported via support portal with high priority, and this affects multiple users.",account_access
CLS-00265,"Need assistance, I cannot log in to my account. Reported via email with low priority, and this started yesterday.",account_access
CLS-00266,"Good morning, Password reset link expired. Reported via chat with low priority, and we need a quick resolution.",account_access
CLS-00267,"Urgent, The invoice total is incorrect. Reported via chat with medium priority, and this affects multiple users.",billing
CLS-00268,"Good morning, Order is marked delivered but I did not receive it. Reported via phone with low priority, and this started yesterday.",shipping
CLS-00269,"Hi team, I need an updated invoice with tax ID. Reported via chat with low priority, and this started yesterday.",billing
CLS-00270,"Good morning, I was billed for an add-on I did not enable. Reported via chat with high priority, and this is blocking our operations.",billing
CLS-00271,"Hi team, I am logged out immediately after signing in. Reported via support portal with low priority, and this affects multiple users.",account_access
CLS-00272,"Good morning, Search is returning empty results. Reported via support portal with medium priority, and please prioritize this today.",technical
CLS-00273,"Need assistance, The payment failed but money was charged. Reported via chat with low priority, and we need a quick resolution.",billing
CLS-00274,"Need assistance, The invoice total is incorrect. Reported via support portal with medium priority, and this started after the latest release.",billing
CLS-00275,"Hi team, My order has not been delivered. Reported via chat with low priority, and this affects multiple users.",shipping
CLS-00276,"Need assistance, I was charged twice for my subscription. Reported via support portal with medium priority, and this is blocking our operations.",billing
CLS-00277,"Hi team, File upload fails for PDF documents. Reported via phone with low priority, and this is blocking our operations.",technical
CLS-00278,"Hi team, Courier delivered to the wrong address. Reported via support portal with high priority, and this is blocking our operations.",shipping
CLS-00279,"Good morning, The package arrived damaged. Reported via chat with low priority, and we need a quick resolution.",shipping
CLS-00280,"Please help, Billing continued after cancellation. Reported via chat with low priority, and this started yesterday.",billing
CLS-00281,"Please help, I was charged twice for my subscription. Reported via support portal with medium priority, and this started yesterday.",billing
CLS-00282,"Good morning, The payment failed but money was charged. Reported via phone with low priority, and this is blocking our operations.",billing
CLS-00283,"Urgent, The website is very slow today. Reported via chat with medium priority, and this started yesterday.",technical
CLS-00284,"Urgent, A discount code was not applied. Reported via phone with high priority, and we need a quick resolution.",billing
CLS-00285,"Need assistance, Export to CSV does not work. Reported via chat with low priority, and this is blocking our operations.",technical
