ticket_id,raw_text,label
TCK-00054,"Need assistance, Search returns no results. Sending details through phone, medium priority, reference checkout module, and this is impacting customer response times.",technical
TCK-00055,"Need assistance, The payment failed but money was still taken. Reported via email, medium priority, reference plan PRO, and this happens only on web.",billing
TCK-00056,"Urgent, A refund has not arrived yet. Reported via chat, high priority, reference plan PRO, and this is impacting customer response times.",billing
TCK-00057,"Hello support, My password is rejected even after reset. Sending details through chat, low priority, reference main tenant, and this affects multiple users.",account_access
TCK-00058,"Hello support: The order is marked delivered but I did not receive it. I opened this through phone with high priority, reference shipment SHP-9001, and this started yesterday.",shipping
TCK-00059,"Good afternoon, I need an updated invoice with company tax ID. Reported via portal, high priority, reference plan PRO, and this happens only on mobile.",billing
TCK-00060,"Urgent, Changes are not being saved. Reported via email, high priority, reference admin dashboard, and this affects multiple users.",technical
TCK-00061,"Urgent: The screen is blank after login. I opened this through email with high priority, reference service API, and this started yesterday.",technical
TCK-00062,"Hello support, The payment failed but money was still taken. Reported via chat, low priority, reference plan PRO, and this started yesterday.",billing
TCK-00063,"Hi team: The export button does nothing. I opened this through portal with high priority, reference web frontend, and this blocks our daily operations.",technical
TCK-00064,"Quick request, Customs hold has delayed my package. Sending details through chat, medium priority, reference shipment SHP-9001, and this started yesterday.",shipping
TCK-00065,"Good morning, I am reporting this issue: My password is rejected even after reset. Channel phone, high priority, reference user USR-441, and we need a fix today.",account_access
TCK-00066,"Urgent: File upload fails for PDFs. I opened this through chat with low priority, reference CRM connector, and this happens only on web.",technical
TCK-00067,"Good morning, I am reporting this issue: The two-factor code never arrives. Channel chat, high priority, reference sales team, and this blocks our daily operations.",account_access
TCK-00068,"Good morning, SSO login is failing for my team. Reported via phone, medium priority, reference user USR-772, and this affects multiple users.",account_access
TCK-00069,"Hi team, My password is rejected even after reset. Sending details through email, high priority, reference user USR-772, and this started yesterday.",account_access
TCK-00070,"Good afternoon, My discount was not applied. Sending details through phone, medium priority, reference subscription SUB-8840, and this happens only on mobile.",billing
TCK-00071,"Urgent, The password reset link expired. Reported via chat, high priority, reference sales team, and we need a fix today.",account_access
TCK-00072,"Good morning, I need to change the delivery address. Sending details through phone, medium priority, reference shipment SHP-7654, and we need a fix today.",shipping
TCK-00073,"Please help, The payment failed but money was still taken. Reported via portal, medium priority, reference subscription SUB-8840, and this is impacting customer response times.",billing
TCK-00074,"Urgent: The courier asked for an unexpected fee. I opened this through email with medium priority, reference order ORD-1102, and this is impacting customer response times.",shipping
TCK-00075,"Good afternoon: I get a timeout when loading reports. I opened this through phone with medium priority, reference CRM connector, and this affects multiple users.",technical
TCK-00076,"Good morning: My order has not been delivered. I opened this through chat with high priority, reference tracking TRK-992, and this blocks our daily operations.",shipping
TCK-00077,"Quick request: I cannot enable two-factor authentication. I opened this through portal with low priority, reference main tenant, and this happens only on web.",account_access
TCK-00078,"Good afternoon: Customs hold has delayed my package. I opened this through chat with medium priority, reference tracking TRK-992, and this started yesterday.",shipping
TCK-00079,"Good afternoon, The API returns a 500 error. Sending details through email, high priority, reference checkout module, and we need a fix today.",technical
TCK-00080,"Please help: The courier asked for an unexpected fee. I opened this through chat with low priority, reference tracking TRK-331, and this started after the latest release.",shipping
TCK-00081,"Quick request, I am reporting this issue: I need to change the delivery address. Channel portal, high priority, reference shipment SHP-9001, and we need a fix today.",shipping
TCK-00082,"Quick request: I cannot complete email verification. I opened this through portal with medium priority, reference corporate domain, and this affects multiple users.",account_access
TCK-00083,"Good afternoon, My user appears disabled. Reported via phone, medium priority, reference user USR-441, and this affects multiple users.",account_access
TCK-00084,"Good morning, Notifications are delayed by several hours. Reported via phone, low priority, reference web frontend, and this started yesterday.",technical
TCK-00085,"Hi team: File upload fails for PDFs. I opened this through phone with medium priority, reference web frontend, and this blocks our daily operations.",technical
TCK-00086,"Please help: I need to change my login email. I opened this through portal with high priority, reference corporate domain, and this happens only on web.",account_access
TCK-00087,"Quick request, The invoice total is incorrect. Sending details through chat, medium priority, reference subscription SUB-8840, and this happens only on mobile.",billing
TCK-00088,"Good morning, I am reporting this issue: My password is rejected even after reset. Channel chat, low priority, reference user USR-441, and this affects multiple users.",account_access
TCK-00089,"Hello support, Customs hold has delayed my package. Reported via email, high priority, reference shipment SHP-9001, and this happens only on web.",shipping
TCK-00090,"Urgent, I received the wrong product. Reported via portal, medium priority, reference shipment SHP-9001, and we need a fix today.",shipping
TCK-00091,"Hi team: I get a timeout when loading reports. I opened this through phone with medium priority, reference checkout module, and this happens only on web.",technical
TCK-00092,"Good morning, I received the wrong product. Sending details through phone, medium priority, reference shipment SHP-7654, and this affects multiple users.",shipping
TCK-00093,"Hi team, I am reporting this issue: The VAT amount is wrong on the invoice. Channel phone, low priority, reference invoice INV-1021, and this affects multiple users.",billing
TCK-00094,"Good morning, Notifications are delayed by several hours. Sending details through chat, high priority, reference checkout module, and this started yesterday.",technical
TCK-00095,"Urgent, I need to switch the payment method. Reported via phone, high priority, reference plan PRO, and this blocks our daily operations.",billing
TCK-00096,"Good afternoon, I received the wrong product. Sending details through email, low priority, reference tracking TRK-992, and we need a fix today.",shipping
TCK-00097,"Hi team, The package arrived damaged. Sending details through chat, high priority, reference tracking TRK-331, and this happens only on web.",shipping
TCK-00098,"Hi team, I was charged twice for my monthly plan. Sending details through portal, medium priority, reference order ORD-5561, and this started after the latest release.",billing
TCK-00099,"Please help, I am reporting this issue: I get logged out immediately. Channel email, low priority, reference user USR-441, and this happens only on mobile.",account_access
TCK-00100,"Hello support, I cannot log in to my account. Sending details through phone, high priority, reference sales team, and this started after the latest release.",account_access
TCK-00101,"Hello support, The courier asked for an unexpected fee. Reported via email, low priority, reference shipment SHP-9001, and this happens only on mobile.",shipping
TCK-00102,"Quick request, I received the wrong product. Sending details through chat, low priority, reference order ORD-1102, and this affects multiple users.",shipping
TCK-00103,"Good afternoon: Changes are not being saved. I opened this through email with high priority, reference web frontend, and we need a fix today.",technical
TCK-00104,"Good afternoon, I was billed for an add-on I did not enable. Reported via phone, high priority, reference order ORD-5561, and this happens only on web.",billing
TCK-00105,"Please help: I need to change my login email. I opened this through chat with high priority, reference user USR-441, and this started after the latest release.",account_access
TCK-00106,"Good afternoon, My discount was not applied. Reported via chat, medium priority, reference invoice INV-3044, and we need a fix today.",billing
TCK-00107,"Please help, I am reporting this issue: Notifications are delayed by several hours. Channel email, high priority, reference web frontend, and this blocks our daily operations.",technical
TCK-00108,"Good afternoon: I was billed for an add-on I did not enable. I opened this through chat with medium priority, reference invoice INV-1021, and this is impacting customer response times.",billing
TCK-00109,"Hello support, Sign in fails on mobile but works on web. Reported via phone, medium priority, reference main tenant, and this started yesterday.",account_access
TCK-00110,"Hi team, I am reporting this issue: Notifications are delayed by several hours. Channel phone, medium priority, reference CRM connector, and this blocks our daily operations.",technical
TCK-00111,"Hello support: The checkout page freezes during payment. I opened this through chat with low priority, reference service API, and this affects multiple users.",technical
TCK-00112,"Quick request, I am reporting this issue: The parcel box arrived open. Channel phone, low priority, reference shipment SHP-9001, and this happens only on mobile.",shipping
TCK-00113,"Hello support: I was billed for an add-on I did not enable. I opened this through portal with low priority, reference invoice INV-3044, and this is impacting customer response times.",billing
TCK-00114,"Good morning, I am reporting this issue: My account is locked. Channel chat, high priority, reference user USR-772, and this started after the latest release.",account_access
TCK-00115,"Hello support, I was billed for an add-on I did not enable. Reported via portal, high priority, reference invoice INV-1021, and this started after the latest release.",billing
TCK-00116,"Quick request, The courier delivered to the wrong address. Sending details through email, high priority, reference tracking TRK-992, and this started after the latest release.",shipping
TCK-00117,"Good afternoon, The parcel box arrived open. Sending details through chat, medium priority, reference order ORD-1102, and this blocks our daily operations.",shipping
TCK-00118,"Hello support: A refund has not arrived yet. I opened this through phone with high priority, reference invoice INV-3044, and this affects multiple users.",billing
TCK-00119,"Hello support: The package arrived damaged. I opened this through email with medium priority, reference shipment SHP-7654, and this happens only on mobile.",shipping
TCK-00120,"Urgent, I need an updated invoice with company tax ID. Sending details through portal, medium priority, reference plan PRO, and we need a fix today.",billing
TCK-00121,"Good morning, The website is extremely slow. Reported via phone, high priority, reference CRM connector, and this started after the latest release.",technical
TCK-00122,"Good afternoon, The payment failed but money was still taken. Sending details through portal, high priority, reference invoice INV-1021, and this started after the latest release.",billing
TCK-00123,"Hello support, I am reporting this issue: The export button does nothing. Channel portal, high priority, reference admin dashboard, and this blocks our daily operations.",technical
TCK-00124,"Need assistance, I need an updated invoice with company tax ID. Sending details through email, low priority, reference plan PRO, and this started after the latest release.",billing
TCK-00125,"Please help, The export button does nothing. Sending details through phone, high priority, reference web frontend, and this blocks our daily operations.",technical
TCK-00126,"Urgent, I am reporting this issue: The invoice total is incorrect. Channel email, medium priority, reference order ORD-5561, and this affects multiple users.",billing
TCK-00127,"Quick request, Sign in fails on mobile but works on web. Sending details through chat, low priority, reference sales team, and this blocks our daily operations.",account_access
TCK-00128,"Hi team, I am reporting this issue: The two-factor code never arrives. Channel chat, low priority, reference corporate domain, and this happens only on mobile.",account_access
TCK-00129,"Urgent, Notifications are delayed by several hours. Sending details through email, low priority, reference web frontend, and we need a fix today.",technical
TCK-00130,"Hello support: The app crashes when I open the dashboard. I opened this through email with high priority, reference checkout module, and this blocks our daily operations.",technical
TCK-00131,"Urgent, The integration with our CRM is failing. Sending details through phone, medium priority, reference service API, and this happens only on web.",technical
TCK-00132,"Need assistance, I am reporting this issue: The order is marked delivered but I did not receive it. Channel email, high priority, reference order ORD-1102, and this started yesterday.",shipping
TCK-00133,"Need assistance, I need an updated invoice with company tax ID. Reported via portal, low priority, reference invoice INV-3044, and this is impacting customer response times.",billing
TCK-00134,"Hello support: I was billed for an add-on I did not enable. I opened this through email with low priority, reference invoice INV-3044, and this happens only on web.",billing
TCK-00135,"Good morning: The website is extremely slow. I opened this through phone with high priority, reference checkout module, and this is impacting customer response times.",technical
TCK-00136,"Good morning, I need to switch the payment method. Sending details through phone, medium priority, reference invoice INV-1021, and this started after the latest release.",billing
TCK-00137,"Urgent, I am reporting this issue: A refund has not arrived yet. Channel email, high priority, reference plan PRO, and this started after the latest release.",billing
TCK-00138,"Hello support, I am reporting this issue: I need to change the delivery address. Channel email, high priority, reference tracking TRK-992, and this happens only on web.",shipping
TCK-00139,"Hello support, I am reporting this issue: The integration with our CRM is failing. Channel portal, high priority, reference CRM connector, and this blocks our daily operations.",technical
TCK-00140,"Need assistance: I need to change my login email. I opened this through email with low priority, reference sales team, and this affects multiple users.",account_access
TCK-00141,"Urgent: The courier delivered to the wrong address. I opened this through phone with medium priority, reference tracking TRK-331, and this happens only on mobile.",shipping
TCK-00142,"Quick request, There is an unknown charge on my card. Sending details through portal, medium priority, reference order ORD-5561, and this happens only on web.",billing
TCK-00143,"Good afternoon, File upload fails for PDFs. Reported via portal, high priority, reference web frontend, and this is impacting customer response times.",technical
TCK-00144,"Quick request, My discount was not applied. Sending details through chat, low priority, reference plan PRO, and this is impacting customer response times.",billing
TCK-00145,"Good afternoon, Notifications are delayed by several hours. Reported via phone, medium priority, reference CRM connector, and this is impacting customer response times.",technical
TCK-00146,"Good afternoon, I am reporting this issue: The API returns a 500 error. Channel phone, high priority, reference CRM connector, and we need a fix today.",technical
TCK-00147,"Quick request, The screen is blank after login. Sending details through chat, medium priority, reference admin dashboard, and this started after the latest release.",technical
TCK-00148,"Urgent, The two-factor code never arrives. Sending details through portal, high priority, reference user USR-441, and this happens only on web.",account_access
TCK-00149,"Quick request, The package arrived damaged. Reported via email, low priority, reference shipment SHP-9001, and this started after the latest release.",shipping
TCK-00150,"Urgent: I get logged out immediately. I opened this through chat with high priority, reference main tenant, and this blocks our daily operations.",account_access
TCK-00151,"Quick request, Changes are not being saved. Sending details through email, high priority, reference CRM connector, and this affects multiple users.",technical
TCK-00152,"Need assistance, I get logged out immediately. Reported via chat, low priority, reference sales team, and this is impacting customer response times.",account_access
TCK-00153,"Good morning, The VAT amount is wrong on the invoice. Reported via portal, medium priority, reference subscription SUB-8840, and this is impacting customer response times.",billing
TCK-00154,"Hello support, I am reporting this issue: My account is locked. Channel chat, medium priority, reference main tenant, and this happens only on web.",account_access
TCK-00155,"Good morning, File upload fails for PDFs. Sending details through phone, high priority, reference checkout module, and this is impacting customer response times.",technical
TCK-00156,"Please help, My password is rejected even after reset. Sending details through chat, medium priority, reference main tenant, and this is impacting customer response times.",account_access
TCK-00157,"Hello support, I cannot complete email verification. Reported via portal, low priority, reference corporate domain, and this started after the latest release.",account_access
TCK-00158,"Please help, There is an unknown charge on my card. Sending details through email, medium priority, reference order ORD-5561, and this started after the latest release.",billing
TCK-00159,"Please help: The order is marked delivered but I did not receive it. I opened this through phone with medium priority, reference tracking TRK-992, and this affects multiple users.",shipping
TCK-00160,"Good afternoon: I need an updated invoice with company tax ID. I opened this through portal with high priority, reference invoice INV-3044, and this affects multiple users.",billing
TCK-00161,"Good afternoon: The export button does nothing. I opened this through portal with high priority, reference checkout module, and we need a fix today.",technical
TCK-00162,"Hi team, I am reporting this issue: I need to change my login email. Channel portal, high priority, reference user USR-772, and this started after the latest release.",account_access
TCK-00163,"Good afternoon: The checkout page freezes during payment. I opened this through phone with medium priority, reference admin dashboard, and this happens only on web.",technical
TCK-00164,"Good afternoon, I am reporting this issue: The courier delivered to the wrong address. Channel email, medium priority, reference shipment SHP-7654, and this is impacting customer response times.",shipping
TCK-00165,"Quick request: The courier delivered to the wrong address. I opened this through phone with low priority, reference tracking TRK-331, and this is impacting customer response times.",shipping
TCK-00166,"Please help: Search returns no results. I opened this through chat with medium priority, reference checkout module, and this happens only on mobile.",technical
TCK-00167,"Good morning, The export button does nothing. Sending details through chat, medium priority, reference checkout module, and this happens only on mobile.",technical
TCK-00168,"Need assistance, SSO login is failing for my team. Sending details through portal, high priority, reference user USR-772, and this is impacting customer response times.",account_access
TCK-00169,"Urgent, Customs hold has delayed my package. Sending details through portal, medium priority, reference order ORD-1102, and this blocks our daily operations.",shipping
TCK-00170,"Good morning, I was charged twice for my monthly plan. Sending details through phone, medium priority, reference plan PRO, and this blocks our daily operations.",billing
TCK-00171,"Good afternoon, The package arrived damaged. Sending details through chat, medium priority, reference shipment SHP-9001, and this affects multiple users.",shipping
TCK-00172,"Quick request: The order is marked delivered but I did not receive it. I opened this through phone with medium priority, reference shipment SHP-7654, and this started yesterday.",shipping
TCK-00173,"Urgent: My account is locked. I opened this through email with medium priority, reference corporate domain, and this happens only on web.",account_access
TCK-00174,"Hi team: The export button does nothing. I opened this through email with high priority, reference web frontend, and this happens only on mobile.",technical
TCK-00175,"Urgent, I am reporting this issue: I need an updated invoice with company tax ID. Channel email, high priority, reference invoice INV-3044, and this happens only on web.",billing
TCK-00176,"Hi team, Customs hold has delayed my package. Reported via chat, low priority, reference tracking TRK-992, and this is impacting customer response times.",shipping
TCK-00177,"Quick request, The password reset link expired. Sending details through chat, high priority, reference sales team, and we need a fix today.",account_access
TCK-00178,"Need assistance, My password is rejected even after reset. Reported via chat, medium priority, reference corporate domain, and this affects multiple users.",account_access
TCK-00179,"Good morning, I am reporting this issue: The invoice total is incorrect. Channel phone, medium priority, reference order ORD-5561, and this affects multiple users.",billing
TCK-00180,"Urgent, I need to change my login email. Sending details through chat, high priority, reference corporate domain, and this started yesterday.",account_access
TCK-00181,"Good afternoon: File upload fails for PDFs. I opened this through portal with medium priority, reference service API, and this started after the latest release.",technical
TCK-00182,"Good morning: My user appears disabled. I opened this through email with low priority, reference user USR-772, and this is impacting customer response times.",account_access
TCK-00183,"Quick request: I cannot complete email verification. I opened this through phone with high priority, reference main tenant, and this is impacting customer response times.",account_access
TCK-00184,"Urgent, I was charged twice for my monthly plan. Reported via phone, medium priority, reference plan PRO, and this happens only on web.",billing
TCK-00185,"Good afternoon, I am reporting this issue: File upload fails for PDFs. Channel email, low priority, reference CRM connector, and this affects multiple users.",technical
TCK-00186,"Good afternoon, I am reporting this issue: The VAT amount is wrong on the invoice. Channel chat, low priority, reference invoice INV-1021, and this happens only on mobile.",billing
TCK-00187,"Urgent, I am reporting this issue: The API returns a 500 error. Channel portal, high priority, reference checkout module, and this blocks our daily operations.",technical
TCK-00188,"Hello support, Changes are not being saved. Sending details through chat, low priority, reference checkout module, and this happens only on web.",technical
TCK-00189,"Hi team: The parcel box arrived open. I opened this through chat with high priority, reference shipment SHP-7654, and we need a fix today.",shipping
TCK-00190,"Please help, Customs hold has delayed my package. Reported via phone, low priority, reference shipment SHP-9001, and we need a fix today.",shipping
TCK-00191,"Need assistance, My discount was not applied. Reported via phone, high priority, reference plan PRO, and this affects multiple users.",billing
TCK-00192,"Quick request: A refund has not arrived yet. I opened this through portal with high priority, reference plan PRO, and this is impacting customer response times.",billing
TCK-00193,"Please help, I am reporting this issue: My account is locked. Channel phone, low priority, reference user USR-772, and this affects multiple users.",account_access
TCK-00194,"Need assistance, I was charged twice for my monthly plan. Sending details through chat, low priority, reference plan PRO, and this is impacting customer response times.",billing
TCK-00195,"Hello support, I am reporting this issue: My password is rejected even after reset. Channel phone, low priority, reference user USR-772, and this affects multiple users.",account_access
TCK-00196,"Good morning, I am reporting this issue: The checkout page freezes during payment. Channel portal, low priority, reference service API, and this started yesterday.",technical
TCK-00197,"Good morning, My user appears disabled. Sending details through email, medium priority, reference corporate domain, and this started yesterday.",account_access
TCK-00198,"Good afternoon, I need an updated invoice with company tax ID. Sending details through portal, low priority, reference invoice INV-3044, and this started yesterday.",billing
TCK-00199,"Good morning, I am reporting this issue: Tracking has not updated for days. Channel portal, medium priority, reference shipment SHP-7654, and this blocks our daily operations.",shipping
TCK-00200,"Quick request: My user appears disabled. I opened this through email with medium priority, reference main tenant, and this affects multiple users.",account_access
TCK-00201,"Hello support: The API returns a 500 error. I opened this through email with medium priority, reference web frontend, and this started yesterday.",technical
TCK-00202,"Good morning, The two-factor code never arrives. Sending details through portal, high priority, reference main tenant, and we need a fix today.",account_access
TCK-00203,"Need assistance, The payment failed but money was still taken. Sending details through phone, high priority, reference plan PRO, and we need a fix today.",billing
TCK-00204,"Hi team, I am reporting this issue: My order has not been delivered. Channel phone, low priority, reference shipment SHP-7654, and this started after the latest release.",shipping
TCK-00205,"Please help, I am reporting this issue: Customs hold has delayed my package. Channel phone, high priority, reference shipment SHP-7654, and this blocks our daily operations.",shipping
TCK-00206,"Hi team: I was billed for an add-on I did not enable. I opened this through email with low priority, reference plan PRO, and this started yesterday.",billing
TCK-00207,"Need assistance: Notifications are delayed by several hours. I opened this through portal with medium priority, reference checkout module, and we need a fix today.",technical
TCK-00208,"Need assistance, I am reporting this issue: The two-factor code never arrives. Channel portal, high priority, reference corporate domain, and this is impacting customer response times.",account_access
TCK-00209,"Good afternoon, I cannot complete email verification. Sending details through chat, low priority, reference user USR-441, and this started after the latest release.",account_access
TCK-00210,"Quick request: The website is extremely slow. I opened this through phone with high priority, reference admin dashboard, and this affects multiple users.",technical
TCK-00211,"Hello support, I am reporting this issue: The website is extremely slow. Channel portal, low priority, reference service API, and this happens only on mobile.",technical
TCK-00212,"Urgent: SSO login is failing for my team. I opened this through phone with low priority, reference main tenant, and we need a fix today.",account_access
TCK-00213,"Hello support: I get logged out immediately. I opened this through email with high priority, reference user USR-441, and this is impacting customer response times.",account_access
TCK-00214,"Good afternoon, My password is rejected even after reset. Sending details through portal, low priority, reference sales team, and this blocks our daily operations.",account_access
TCK-00215,"Need assistance: The parcel box arrived open. I opened this through phone with low priority, reference order ORD-1102, and this happens only on mobile.",shipping
TCK-00216,"Quick request, I am reporting this issue: The payment failed but money was still taken. Channel email, high priority, reference plan PRO, and we need a fix today.",billing
TCK-00217,"Please help, I am reporting this issue: My password is rejected even after reset. Channel portal, high priority, reference user USR-441, and this started yesterday.",account_access
TCK-00218,"Urgent, The export button does nothing. Reported via portal, low priority, reference checkout module, and this blocks our daily operations.",technical
TCK-00219,"Good morning, I am reporting this issue: I get a timeout when loading reports. Channel email, high priority, reference web frontend, and this started after the latest release.",technical
TCK-00220,"Quick request, I am reporting this issue: The invoice total is incorrect. Channel portal, low priority, reference plan PRO, and this happens only on web.",billing
TCK-00221,"Hello support: Tracking has not updated for days. I opened this through email with medium priority, reference order ORD-1102, and this happens only on mobile.",shipping
TCK-00222,"Please help, I am reporting this issue: A refund has not arrived yet. Channel chat, medium priority, reference invoice INV-1021, and this started after the latest release.",billing
TCK-00223,"Hello support, I am reporting this issue: I need to change the delivery address. Channel email, low priority, reference tracking TRK-992, and we need a fix today.",shipping
TCK-00224,"Need assistance, Sign in fails on mobile but works on web. Reported via chat, medium priority, reference main tenant, and this started after the latest release.",account_access
TCK-00225,"Hi team, A refund has not arrived yet. Sending details through portal, high priority, reference order ORD-5561, and we need a fix today.",billing
TCK-00226,"Need assistance, My discount was not applied. Reported via portal, low priority, reference plan PRO, and this affects multiple users.",billing
TCK-00227,"Need assistance, My annual plan renewed at the wrong price. Reported via email, medium priority, reference invoice INV-1021, and this is impacting customer response times.",billing
TCK-00228,"Need assistance: Customs hold has delayed my package. I opened this through email with low priority, reference shipment SHP-7654, and this started yesterday.",shipping
TCK-00229,"Good morning, Customs hold has delayed my package. Reported via email, medium priority, reference shipment SHP-7654, and this blocks our daily operations.",shipping
TCK-00230,"Quick request, I am reporting this issue: There is an unknown charge on my card. Channel portal, low priority, reference subscription SUB-8840, and this happens only on web.",billing
